Designator,Mid X,Mid Y,Rotation,Layer
U54,131.974297,-175.82429,45.0,bottom
U55,105.780547,-175.82429,45.0,bottom
U56,79.586797,-175.82429,45.0,bottom
U57,60.536797,-175.82429,45.0,bottom
U58,343.905547,-194.87429,45.0,bottom
U59,320.093047,-194.87429,45.0,bottom
U6,251.036797,-118.67429,45.0,bottom
U60,296.280547,-194.87429,45.0,bottom
U61,224.843047,-194.87429,45.0,bottom
U62,153.405547,-194.87429,45.0,bottom
U63,129.593047,-194.87429,45.0,bottom
U64,98.636797,-194.87429,45.0,bottom
U65,79.586797,-194.87429,45.0,bottom
U66,60.536797,-194.87429,45.0,bottom
U7,231.986797,-118.67429,45.0,bottom
U8,212.936797,-118.67429,45.0,bottom
U9,193.886797,-118.67429,45.0,bottom
USBC1,359.902021,-100.057051,180.0,top
